amplitude_exp amplitude_sim mean_exp mean_sim sigma_exp sigma_sim
55.0484 88.3072 61.3508 61.4945 0.601448 0.399401
52.5654 86.1895 61.3074 61.5068 0.719098 0.399096
47.4849 81.3867 61.2703 61.5013 0.692404 0.42314
54.3031 85.5453 61.2353 61.5267 0.623181 0.462175
80.9752 75.6716 61.1028 61.511 0.970462 0.408878
69.2477 78.6438 61.2779 61.513 0.666319 0.394274
82.8585 84.8248 61.399 61.495 0.594217 0.454334
91.4558 82.583 61.4126 61.5023 0.499467 0.471648
87.5646 89.1003 61.3775 61.4892 0.511046 0.4112
85.4217 81.2176 61.4201 61.504 0.539803 0.40166
68.6168 85.9477 61.502 61.5233 0.521589 0.418681
84.2844 79.8275 61.4811 61.4874 0.500568 0.470669
94.8431 81.567 61.5195 61.5114 0.513227 0.424139
100.002 86.7635 61.4679 61.4852 0.535672 0.455588
100.767 84.7329 61.4521 61.5053 0.515498 0.438657
99.1164 88.3326 61.4196 61.4989 0.56623 0.45997
94.4805 85.9079 61.3434 61.4942 0.620263 0.420225
96.2233 79.66 61.3834 61.4901 0.611385 0.41286
91.1768 81.6214 61.4248 61.4991 0.513956 0.443077
97.5425 86.5351 61.3924 61.4949 0.54684 0.42672
74.7631 83.8583 61.346 61.5168 0.537971 0.450201
65.9408 86.0568 61.3067 61.5193 0.543606 0.478839
98.7606 86.7069 61.2233 61.527 0.781912 0.451618
108.165 81.7379 61.0888 61.4884 0.985469 0.471169
99.1027 76.2264 60.8553 61.4848 0.851137 0.494905
99.4729 85.1429 61.1531 61.5027 0.6769 0.393888
99.0934 80.7693 60.9828 61.4885 0.81737 0.403559
83.7966 84.1889 60.9025 61.5082 0.774231 0.456548
78.4792 86.4556 61.1123 61.5047 0.822819 0.421626
88.9301 88.2351 61.2074 61.5002 0.741366 0.463806
76.9944 84.8557 61.2418 61.4807 0.627994 0.453836
76.1898 83.1711 61.1769 61.4544 0.728491 0.52788
89.5247 81.2198 61.273 61.516 0.600324 0.416891
94.9098 86.1918 61.2493 61.4979 0.621702 0.430406
85.3432 87.8028 61.1966 61.5132 0.715013 0.448823
81.3758 84.2258 61.2576 61.4501 0.658063 0.555561
95.0212 87.253 61.2125 61.4962 0.68009 0.446187
103.748 92.0076 61.2316 61.5092 0.821005 0.429388
96.4212 84.1712 61.297 61.5006 0.737665 0.493117
100.685 87.1379 61.1376 61.4493 0.919106 0.506797
95.3718 90.5521 61.1286 61.482 0.800306 0.450051
84.7704 87.56 61.1423 61.5053 0.72344 0.411914
84.5011 80.1238 61.0255 61.4926 0.715486 0.44981
82.8211 84.4451 61.0044 61.4984 0.702548 0.401452
75.0171 82.3976 61.07 61.4902 0.671449 0.42624
93.551 78.9209 61.1948 61.5376 0.634128 0.441353
89.5204 80.8982 61.2723 61.4786 0.58234 0.52563
100.232 87.1614 61.2629 61.5229 0.667356 0.385608
101.441 89.2332 61.0079 61.5036 0.996315 0.410582
85.7967 87.3002 61.0253 61.5081 0.896852 0.454548
65.1445 61.4345 78.7065 78.9453 0.570286 0.44218
65.8133 65.9698 78.6222 78.9131 0.450402 0.462363
65.3662 60.3619 78.7436 78.9317 0.645243 0.458344
62.2329 63.8774 78.7508 78.9304 0.576265 0.449748
61.0352 65.0525 78.6931 78.9045 0.558661 0.450449
59.7401 69.8956 78.8209 78.9014 0.583312 0.442013
58.228 61.9328 78.8122 78.9028 0.572132 0.414285
67.4486 70.6225 78.8168 78.9153 0.53177 0.414273
71.6387 64.9281 78.8794 78.9377 0.526667 0.445161
66.669 64.0226 78.895 78.9326 0.506053 0.442406
46.4494 65.6575 78.8589 78.9134 0.551955 0.461703
50.4043 62.9303 78.8089 78.9033 0.728444 0.461371
54.5676 59.7575 78.8857 78.927 0.730492 0.497069
72.3769 64.2465 78.9033 78.933 0.56377 0.424774
79.4763 65.1959 78.9492 78.9524 0.54697 0.48781
76.2266 63.1993 78.9145 78.9427 0.508056 0.469493
84.1394 63.3253 78.8896 78.9452 0.567608 0.430991
75.7036 67.0971 78.8369 78.9176 0.527722 0.470722
70.0382 64.5686 78.8265 78.9485 0.591325 0.444789
64.332 62.1517 78.9041 78.9629 0.714531 0.430387
66.0562 67.3107 78.8917 78.9266 0.640327 0.448309
63.7042 66.6955 78.8418 78.9306 0.544137 0.442457
68.3484 65.117 78.8439 78.9376 0.510941 0.438922
62.1133 63.558 78.8399 78.9321 0.702389 0.448244
62.3136 63.4596 78.7394 78.9481 0.599269 0.455287
71.7243 64.7956 78.7791 78.9334 0.570597 0.488459
